ponto	planta 	folhas	frutos 	botoes	caule	flores	masculino	feminino	florestotal	galhascaul	nflores	ntotalflores	massatotal	area_construida	solo_exposto	pastagem	agricultura	vegetacao	probgal
P10	B1	9.448	2.744	1.182	12.314	0.1894	0.0272	0.0298	0.2464	2	13	18	26.6244	4.55	1.271	0.818	0.232	0.129	1
P10	B2	8.622	1.604	0.801	12.439	0.1877	0.0247	0.0451	0.2575	1	17	22	24.1995	4.55	1.271	0.818	0.232	0.129	1
P10	B3	20.317	3.476	0.78	39.912	0.2137	0.0352	0.0449	0.2938	3	16	21	65.9678	4.55	1.271	0.818	0.232	0.129	1
P10	B4	7.129	1.449	0.521	7.975	0.0464	0.0083	0.0147	0.0694	1	3	8	18.3564	4.55	1.271	0.818	0.232	0.129	1
P10	B5	7.915	0.289	0.243	6.865	0.0726	NA 	0.017	NA	0	6	11	16.1156	4.55	1.271	0.818	0.232	0.129	0
P10	L1	12.604	3.311	0.999	19.1	0.2351	0.0361	0.0568	0.328	0	23	28	37.838	4.55	1.271	0.818	0.232	0.129	0
P10	L2	5.065	0.991	0.535	9.447	0.1013	0.0152	0.0221	0.1386	7	8	13	17.0666	4.55	1.271	0.818	0.232	0.129	1
P10	L3	16.457	2.587	1.72	26.105	0.1804	0.015	0.0157	0.2111	0	12	17	48.3381	4.55	1.271	0.818	0.232	0.129	0
P10	L4	19.404	3.106	2.139	21.591	0.3687	0.0306	0.052	0.4513	0	26	31	47.7243	4.55	1.271	0.818	0.232	0.129	0
P10	L5	6.288	0.224	0.718	10.079	0.0745	0.0117	0.0231	0.1093	3	8	13	18.0883	4.55	1.271	0.818	0.232	0.129	1
P11	B1	5.076	0.725	0.595	6.954	0.0689	0.0095	0.0216	0.1	5	7	12	14.62	5.023	0.589	0.502	0.125	0.761	1
P11	B2	6.57	3.333	0.861	8.401	0.1417	0.0422	0.0265	0.2104	35	10	15	20.1014	5.023	0.589	0.502	0.125	0.761	1
P11	B3	16.942	2.405	1.767	24.724	0.1175	0.0121	0.012	0.1416	55	9	14	47.4406	5.023	0.589	0.502	0.125	0.761	1
P11	B4	6.463	1.996	0.567	5.958	0.0392	0.0075	0.0069	0.0536	13	5	10	16.0226	5.023	0.589	0.502	0.125	0.761	1
P11	B5	7.467	0.975	0.877	12.926	0.0287	0.0094	0.0052	0.0433	29	3	8	23.4123	5.023	0.589	0.502	0.125	0.761	1
P11	L1	9.095	0.965	1.219	13.707	0.1199	0.0122	0.0322	0.1643	34	10	15	25.7033	5.023	0.589	0.502	0.125	0.761	1
P11	L2	10.113	2.117	0.795	23.582	0.0656	0.0089	0.0289	0.1034	25	12	17	37.4134	5.023	0.589	0.502	0.125	0.761	1
P11	L3	6.421	1.807	0.381	12.763	0.018	0.001	0.0033	0.0223	18	3	8	21.9743	5.023	0.589	0.502	0.125	0.761	1
P11	L4	3.459	0.148	0.332	6.535	0.0382	0.007	0.0172	0.0624	22	4	9	11.0394	5.023	0.589	0.502	0.125	0.761	1
P11	L5	2.885	0.294	0.494	3.224	0.0237	0.0021	0.0087	0.0345	3	3	8	7.4495	5.023	0.589	0.502	0.125	0.761	1
P12	B1	15.592	1.551	0.554	24.864	0.1599	0.0179	0.0301	0.2079	1	10	15	43.8099	5.199	0.324	0.558	0.252	0.667	1
P12	B2	5.005	0.932	0.649	17.314	0.0754	0.0122	0.0146	0.1022	0	5	10	25.0042	5.199	0.324	0.558	0.252	0.667	0
P12	B3	18.304	2.834	0.81	38.878	0.3596	0.0543	0.0659	0.4798	1	23	28	62.4038	5.199	0.324	0.558	0.252	0.667	1
P12	B4	18.921	2.304	0.237	30.03	0.0849	0.0076	0.0093	0.1018	1	4	9	53.0098	5.199	0.324	0.558	0.252	0.667	1
P12	B5	12.091	0.819	0.765	22.215	0.0863	0.0117	0.0175	0.1155	0	5	10	37.4805	5.199	0.324	0.558	0.252	0.667	0
P12	L1	16.499	1.739	1.757	21.488	0.1094	0.0123	0.0104	0.1321	24	7	12	42.2551	5.199	0.324	0.558	0.252	0.667	1
P12	L2	16.047	2.469	0.946	22.609	0.164	0.0185	0.0319	0.2144	0	8	13	43.9174	5.199	0.324	0.558	0.252	0.667	0
P12	L3	16.111	0.683	3.338	31.015	0.119	0.0095	0.0182	0.1467	3	6	11	52.6567	5.199	0.324	0.558	0.252	0.667	1
P12	L4	10.602	2.351	0.793	26.705	0.0752	0.0086	0.0127	0.0965	2	3	8	41.4805	5.199	0.324	0.558	0.252	0.667	1
P12	L5	12.434	3.356	0.954	25.016	0.2251	0.0228	0.0266	0.2745	0	13	18	43.4265	5.199	0.324	0.558	0.252	0.667	0
P13	B1	8.966	1.978	0.658	10.203	0.1705	0.0355	0.023	0.229	2	13	18	23.508	4.678	0.946	1.12	0.136	0.12	1
P13	B2	10.766	3.02	0.791	9.412	0.1141	0.0256	0.033	0.1727	3	7	12	26.1667	4.678	0.946	1.12	0.136	0.12	1
P13	B3	7.271	2.66	0.58	6.703	0.1427	0.0261	0.0341	0.2029	1	8	13	19.4139	4.678	0.946	1.12	0.136	0.12	1
P13	B4	6.822	0.741	0.326	6.014	0.1139	0.0111	0.0233	0.1483	1	7	12	15.9163	4.678	0.946	1.12	0.136	0.12	1
P13	B5	5.857	2.639	1.004	5.892	0.4063	0.0372	0.0444	0.4879	1	33	38	17.0289	4.678	0.946	1.12	0.136	0.12	1
P13	L1	5.074	1.109	0.401	5.606	0.1851	0.0052	0.012	0.2023	4	5	10	13.0933	4.678	0.946	1.12	0.136	0.12	1
P13	L2	4.169	2.505	0.46	5.394	0.1411	0.0222	0.0251	0.1884	2	8	13	13.8214	4.678	0.946	1.12	0.136	0.12	1
P13	L3	5.378	0.954	0.647	4.52	0.208	0.0277	0.0401	0.2758	0	11	16	13.0848	4.678	0.946	1.12	0.136	0.12	0
P13	L4	17.724	6.324	0.847	17.215	0.3567	0.0551	0.0721	0.4839	0	27	32	43.7819	4.678	0.946	1.12	0.136	0.12	0
P13	L5	5.886	0.62	1.089	6.371	0.185	0.0195	0.0189	0.2234	0	10	15	16.0374	4.678	0.946	1.12	0.136	0.12	0
P14	B1	13.1	2.071	0.84	26.187	0.3608	0.0475	0.0841	0.4924	2	42	47	43.5624	1.842	0.145	3.919	0.752	0.342	1
P14	B2	23.841	4.888	1.659	42.878	0.1684	0.0174	0.0317	0.2175	3	9	14	74.6595	1.842	0.145	3.919	0.752	0.342	1
P14	B3	11.496	0.6	1.315	21.704	0.1335	0.024	0.039	0.1965	1	11	16	36.0595	1.842	0.145	3.919	0.752	0.342	1
P14	B4	2.147	0.375	0.244	6.475	0.0699	0.0127	0.013	0.0956	2	6	11	9.8136	1.842	0.145	3.919	0.752	0.342	1
P14	B5	10.125	0.549	0.9	19.307	0.217	0.0129	0.0193	0.2492	1	5	10	32.1882	1.842	0.145	3.919	0.752	0.342	1
P14	L1	10.334	2.666	0.533	15.569	0.0865	0.0189	NA	NA	1	7	12	29.9234	1.842	0.145	3.919	0.752	0.342	1
P14	L2	6.358	1.613	0.377	13.996	0.1334	0.0119	0.008	0.1533	0	6	11	23.2483	1.842	0.145	3.919	0.752	0.342	0
P14	L3	11.412	4.466	1.045	19.859	0.205	0.0183	0.0218	0.2451	5	9	14	37.9071	1.842	0.145	3.919	0.752	0.342	1
P14	L4	12.539	4.219	0.991	20.118	0.2724	0.0391	0.0684	0.3799	1	20	25	39.5139	1.842	0.145	3.919	0.752	0.342	1
P14	L5	4.779	0.941	0.332	26.203	0.0623	0.0089	0.0166	0.0878	0	5	10	33.1118	1.842	0.145	3.919	0.752	0.342	0
